,MD,Hook_load,WOB,RPM,Torque,Intake_pressure,ROP
139,2911.42,66.86,9.14,69.82,2.1,128.94,22.52
140,2911.48,66.68,9.32,69.82,2.15,128.69,22.52
141,2911.48,66.29,9.71,69.91,1.97,128.85,22.52
142,2911.55,66.31,9.69,69.91,2.09,129.25,22.52
143,2911.55,66.69,9.31,69.91,2.04,129.01,22.52
144,2911.55,67.24,8.76,70.0,1.77,128.4,22.52
145,2911.61,67.51,8.49,69.73,2.05,127.75,22.52
146,2911.61,67.85,8.15,69.82,1.86,127.02,22.52
147,2911.67,68.08,7.92,69.82,1.99,126.61,22.52
148,2911.67,68.27,7.73,69.64,2.26,126.2,22.52
149,2911.67,68.68,7.32,69.82,1.97,125.22,22.52
150,2911.74,68.51,7.49,69.73,2.17,124.79,22.52
151,2911.86,67.59,8.41,69.73,2.27,125.34,22.52
152,2911.86,66.62,9.38,69.82,2.13,126.94,22.52
153,2911.93,66.43,9.57,69.73,2.26,127.98,22.52
154,2911.93,66.56,9.44,70.0,1.74,128.72,22.52
155,2911.99,66.2,9.8,70.0,1.72,128.98,22.52
156,2911.99,65.97,10.03,69.91,1.82,129.53,22.52
157,2912.05,66.18,9.82,69.91,1.71,129.24,25.69
158,2912.12,66.39,9.61,69.73,1.92,129.01,25.69
159,2912.18,66.2,9.8,69.73,1.97,129.06,25.69
160,2912.18,66.21,9.79,69.82,1.93,129.15,25.69
161,2912.24,66.45,9.55,69.64,2.04,128.93,25.69
162,2912.24,66.63,9.37,69.73,2.11,128.96,25.69
163,2912.31,66.42,9.58,69.73,2.01,129.2,25.69
164,2912.31,66.09,9.91,69.64,2.18,129.19,25.69
165,2912.37,66.23,9.77,69.73,2.1,129.19,25.69
166,2912.37,66.58,9.42,69.64,1.93,128.66,25.69
167,2912.43,66.56,9.44,69.64,2.15,128.43,25.69
168,2912.5,66.13,9.87,69.73,2.14,128.93,25.69
169,2912.5,66.07,9.93,69.73,2.04,129.49,25.69
170,2912.56,66.32,9.68,69.64,2.15,129.51,25.69
171,2912.56,66.79,9.21,69.64,1.99,128.87,25.69
172,2912.62,67.12,8.88,69.73,1.86,127.96,25.69
173,2912.62,66.9,9.1,69.91,1.65,127.54,25.69
174,2912.69,67.01,8.99,69.73,1.97,128.15,25.69
175,2912.75,66.49,9.51,69.73,1.81,128.85,25.69
176,2912.75,66.74,9.26,69.64,2.09,128.94,25.69
177,2912.75,67.55,8.45,69.64,2.12,128.28,25.69
178,2912.81,67.05,8.95,69.64,2.26,127.94,25.69
179,2912.88,66.55,9.45,69.64,2.27,128.36,25.69
180,2912.94,66.43,9.57,69.73,2.21,128.99,25.69
181,2912.94,66.35,9.65,69.64,2.33,129.59,25.69
182,2913.0,66.4,9.6,69.91,2.24,129.73,27.15
183,2913.0,66.65,9.35,69.82,2.13,129.24,27.15
184,2913.07,66.71,9.29,69.82,2.24,128.5,27.15
185,2913.13,66.91,9.09,69.82,2.13,128.57,27.15
186,2913.13,66.58,9.42,70.09,1.72,129.14,27.15
187,2913.19,66.37,9.63,70.0,1.85,129.93,27.15
188,2913.26,65.93,10.07,69.91,1.91,130.22,27.15
189,2913.26,65.96,10.04,70.09,1.74,130.74,27.15
190,2913.26,66.58,9.42,70.09,1.65,130.56,27.15
191,2913.32,67.0,9.0,69.82,1.89,129.62,27.15
192,2913.38,66.76,9.24,69.82,1.74,129.03,27.15
193,2913.38,66.33,9.67,69.82,1.61,129.19,27.15
194,2913.38,66.78,9.22,69.82,1.64,129.23,27.15
195,2913.45,67.06,8.94,69.73,1.97,128.64,27.15
196,2913.51,66.54,9.46,69.64,2.08,128.21,27.15
197,2913.57,66.4,9.6,69.82,1.92,128.77,27.15
198,2913.57,66.36,9.64,69.64,2.17,129.37,27.15
199,2913.64,66.55,9.45,69.64,2.27,129.88,27.15
200,2913.64,66.36,9.64,69.64,2.25,129.74,27.15
201,2913.7,66.43,9.57,69.64,2.3,129.62,27.15
202,2913.7,66.8,9.2,69.55,2.31,129.65,27.15
203,2913.76,66.26,9.74,69.64,2.32,129.29,27.15
204,2913.83,66.26,9.74,69.64,2.31,129.51,27.15
205,2913.83,65.52,10.48,69.64,2.43,130.43,27.15
206,2913.89,65.69,10.31,69.64,2.29,130.75,27.15
207,2913.95,66.09,9.91,69.73,2.41,130.55,27.15
208,2913.95,65.66,10.34,69.55,2.41,130.55,27.15
209,2914.02,65.9,10.1,69.64,2.3,130.66,27.03
210,2914.08,65.23,10.77,69.64,2.39,131.2,27.03
211,2914.08,65.18,10.82,69.73,2.26,131.79,27.03
212,2914.08,65.77,8.23,69.55,2.48,131.49,27.03
213,2914.08,66.27,7.73,69.73,2.21,130.25,27.03
214,2914.14,66.72,7.28,69.82,2.11,129.21,27.03
215,2914.21,66.18,7.82,70.0,1.86,129.37,27.03
216,2914.27,65.62,8.38,69.82,2.16,129.97,27.03
217,2914.27,65.33,8.67,69.91,1.99,130.25,27.03
218,2914.27,65.65,8.35,69.82,2.05,130.42,27.03
219,2914.33,65.73,8.27,69.82,2.12,129.95,27.03
220,2914.33,65.54,8.46,70.0,1.81,130.1,27.03
221,2914.4,65.85,8.15,70.09,1.65,130.28,27.03
222,2914.4,66.41,7.59,70.0,1.73,129.64,27.03
223,2914.46,66.61,7.39,70.0,1.84,129.41,27.03
224,2914.46,66.39,7.61,70.0,1.7,128.99,27.03
225,2914.52,66.02,7.98,70.0,1.83,129.48,27.03
226,2914.59,65.84,8.16,69.91,1.87,130.21,27.03
227,2914.59,66.05,7.95,70.09,1.62,130.38,27.03
228,2914.59,66.39,7.61,70.0,1.78,129.9,27.03
229,2914.65,66.45,7.55,70.0,1.89,129.11,27.03
230,2914.71,65.74,8.26,70.0,1.75,129.33,27.03
231,2914.71,65.61,8.39,70.09,1.57,130.11,27.03
232,2914.78,65.83,8.17,70.09,1.63,130.38,27.03
233,2914.78,65.79,8.21,70.09,1.61,130.02,27.03
234,2914.78,65.92,8.08,70.0,1.79,129.79,27.03
235,2914.84,65.96,8.04,70.0,1.61,129.39,27.03
236,2914.9,65.98,8.02,69.91,1.69,129.48,27.03
237,2914.9,66.05,7.95,70.0,1.55,129.51,27.03
238,2914.97,66.21,7.79,70.0,1.59,129.44,27.03
239,2915.03,65.65,8.35,69.64,1.96,129.48,24.0
240,2915.03,65.4,8.6,69.64,1.98,129.76,24.0
241,2915.03,65.38,8.62,69.64,2.11,130.01,24.0
242,2915.09,64.94,9.06,69.64,1.85,131.04,24.0
243,2915.09,64.68,9.32,69.64,2.21,131.46,24.0
244,2915.16,64.89,9.11,69.55,2.27,131.9,24.0
245,2915.16,64.83,9.17,69.64,2.37,132.68,24.0
246,2915.16,65.1,8.9,69.64,2.11,132.82,24.0
247,2915.22,65.77,8.23,69.64,2.24,131.63,24.0
248,2915.22,66.04,7.96,69.64,2.29,130.24,24.0
249,2915.28,66.48,7.52,69.55,2.22,129.54,24.0
250,2915.28,66.38,7.62,69.64,2.09,128.55,24.0
251,2915.35,66.22,7.78,69.64,2.16,128.79,24.0
252,2915.35,65.39,8.61,69.64,2.12,129.8,24.0
253,2915.41,65.7,8.3,69.64,2.15,130.57,24.0
254,2915.41,66.0,8.0,69.64,2.14,130.46,24.0
255,2915.41,66.53,7.47,69.64,2.26,129.91,24.0
256,2915.41,67.23,6.77,69.64,2.22,129.26,24.0
257,2915.54,67.23,6.77,69.64,2.09,127.98,24.0
258,2915.54,66.62,7.38,69.55,2.25,128.24,24.0
259,2915.54,66.27,7.73,69.55,2.27,128.74,24.0
260,2915.6,66.05,7.95,69.64,2.13,129.16,24.0
261,2915.66,66.3,7.7,69.64,2.1,129.53,24.0
262,2915.73,65.61,8.39,69.64,2.1,130.2,24.0
263,2915.73,65.65,8.35,69.64,2.1,131.37,24.0
264,2915.73,65.78,8.22,69.64,2.3,131.83,24.0
265,2915.79,66.67,7.33,69.64,2.14,131.27,24.0
266,2915.79,66.79,7.21,69.73,2.07,130.16,24.0
267,2915.85,66.83,7.17,69.64,2.24,129.54,24.0
268,2915.92,66.5,7.5,69.73,2.11,129.69,24.0
269,2915.92,66.36,7.64,69.64,2.29,130.13,24.0
270,2915.98,65.87,8.13,69.64,2.18,130.43,24.0
271,2916.04,65.72,8.28,69.73,2.24,130.78,22.8
272,2916.04,65.41,8.59,69.73,2.18,130.99,22.8
273,2916.04,65.69,8.31,69.73,2.16,131.21,22.8
274,2916.17,65.67,8.33,69.73,2.3,131.48,22.8
275,2916.17,65.63,8.37,69.82,1.98,131.95,22.8
276,2916.23,65.48,8.52,69.82,2.08,132.05,22.8
277,2916.3,65.34,8.66,69.91,1.82,132.34,22.8
278,2916.3,64.93,9.07,69.73,1.95,133.02,22.8
279,2916.3,65.25,8.75,70.0,1.71,133.21,22.8
280,2916.36,65.94,8.06,70.0,1.47,132.69,22.8
281,2916.42,65.97,8.03,70.09,1.54,131.66,22.8
282,2916.49,64.62,9.38,69.91,1.68,131.58,22.8
283,2916.49,64.44,9.56,69.91,1.61,132.62,22.8
284,2916.55,64.58,9.42,70.0,1.48,132.84,22.8
285,2916.55,65.25,8.75,70.0,1.49,132.36,22.8
286,2916.55,65.38,8.62,69.91,1.62,131.5,22.8
287,2916.61,65.64,8.36,69.82,1.82,131.2,22.8
288,2916.61,66.27,7.73,69.82,1.64,130.66,22.8
289,2916.68,67.09,6.91,69.82,1.63,129.58,22.8
290,2916.68,67.97,6.03,69.64,2.17,128.76,22.8
291,2916.74,68.13,5.87,69.64,2.05,127.46,22.8
292,2916.74,67.31,6.69,69.64,2.0,126.84,22.8
293,2916.8,67.02,6.98,69.64,2.19,128.13,22.8
294,2916.87,66.91,7.09,69.64,2.27,128.85,22.8
295,2916.87,66.91,7.09,69.64,2.18,129.44,22.8
296,2916.93,66.64,7.36,69.64,2.18,129.55,22.8
297,2916.93,66.89,7.11,69.64,2.37,129.61,22.8
298,2916.99,66.3,7.7,69.73,2.13,129.44,22.8
299,2917.06,66.08,7.92,69.73,2.03,129.74,26.63
300,2917.06,65.96,8.04,69.91,2.02,130.5,26.63
301,2917.12,65.59,8.41,69.91,2.04,131.51,26.63
302,2917.12,65.88,8.12,70.09,1.76,131.66,26.63
303,2917.18,65.62,8.38,69.91,1.91,131.3,26.63
304,2917.18,65.86,8.14,69.73,2.13,131.43,26.63
305,2917.25,66.34,7.66,69.73,1.98,130.91,26.63
306,2917.31,65.59,8.41,69.73,2.07,130.98,26.63
307,2917.31,65.19,8.81,69.64,2.31,131.46,26.63
308,2917.37,65.75,8.25,69.73,2.3,131.64,26.63
